Plant_name,Molecule,Canonical_SMILES,Formula,Molecular_Weight,`Heavy_atoms,Aromatic_heavy_atoms,Fraction_Csp3,Rotatable_bonds,H_bond_acceptors,H_bond_donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,SilicosIT_LogP,Consensus_LogP,ESOL_LogS,ESOL_Solubility1,ESOL_Solubility2,ESOL_Class,Ali_LogS,Ali_Solubility1,Ali_Solubility2,Ali_Class,SilicosIT_LogSw,SilicosIT_Solubility1,SilicosIT_Solubility2,SilicosIT_class,GI_absorption,BBB_permeant,Pgp_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,CYP2D6_inhibitor,CYP3A4_inhibitor,logKp,Lipinski_violations,Ghose_violations,Veber_violations,Egan_violations,Muegge_violations,Bioavailability_Score,PAINS_alert,Brenk_alert,Leadlikeness_violations,Synthetic_Accessibility
Abrus precatorius L.,Swertisin 8-methyl ether,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(OC)c(OC)c2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,C23H24O11,476.43,34,16,0.35,5,11,6,117.57,179.28,2.4,0.5,0.08,-2.08,0.95,0.37,-3.13,3.56E-01,7.46E-04,Soluble,-3.83,6.97E-02,1.46E-04,Soluble,-3.16,3.27E-01,6.87E-04,Soluble,Low,No,Yes,No,No,No,No,Yes,-8.85,2,0,1,1,3,0.17,0,0,1,5.35
Daucus carota L.,(-)-Falcarinol,C[C@@H](C=C)O,C4H8O,72.11,5,0,0.5,1,1,1,22.03,20.23,1.46,0.59,0.55,0.6,0.26,0.69,-0.59,1.84E+01,2.55E-01,Very soluble,-0.59,1.86E+01,2.58E-01,Very soluble,-0.05,6.47E+01,8.97E-01,Soluble,High,No,No,No,No,No,No,No,-6.32,0,3,0,0,3,0.55,0,1,1,1.61
Daucus carota L.,Diosgenin,C[C@@H]1CC[C@@]2(OC1)O[C@@H]1[C@H]([C@@H]2C)[C@@]2([C@@H](C1)[C@@H]1CC=C3[C@]([C@H]1CC2)(C)CC[C@@H](C3)O)C,C27H42O3,414.62,30,0,0.93,0,3,1,121.59,38.69,4.49,5.67,5.71,4.94,4.29,5.02,-5.98,4.31E-04,1.04E-06,Moderately soluble,-6.25,2.35E-04,5.66E-07,Poorly soluble,-4.49,1.34E-02,3.22E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-4.8,1,2,0,0,1,0.55,0,1,2,6.94
Daucus carota L.,alpha-Bergamotene,CC(=CCC[C@@]1(C)[C@H]2CC=C([C@@H]1C2)C)C,C15H24,204.35,15,0,0.73,3,0,0,68.78,0,3.52,6.45,4.73,4.63,4.27,4.72,-4.97,2.18E-03,1.07E-05,Moderately soluble,-6.24,1.16E-04,5.70E-07,Poorly soluble,-3.55,5.73E-02,2.81E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-2.97,1,0,0,0,2,0.55,0,1,2,5.07
Eucalyptus spp.,alpha-Eudesmol,CC1=CCC[C@]2([C@@H]1C[C@@H](CC2)C(O)(C)C)C,C15H26O,222.37,16,0,0.87,1,1,1,70.46,20.23,3.1,3.5,3.92,3.67,3.35,3.51,-3.36,9.76E-02,4.39E-04,Soluble,-3.61,5.48E-02,2.47E-04,Soluble,-2.96,2.41E-01,1.08E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.17,0,0,0,0,1,0.55,0,1,1,4.08
Eucalyptus spp.,beta-Eudesmol,C=C1CCC[C@]2([C@H]1C[C@@H](CC2)C(O)(C)C)C,C15H26O,222.37,16,0,0.87,1,1,1,70.46,20.23,3.06,3.74,3.92,3.67,3.64,3.6,-3.51,6.89E-02,3.10E-04,Soluble,-3.86,3.09E-02,1.39E-04,Soluble,-3.21,1.36E-01,6.12E-04,Soluble,High,Yes,No,No,No,Yes,No,No,-5,0,0,0,0,1,0.55,0,1,2,3.38
Eucalyptus spp.,alpha-Thujene,CC1=CC[C@@]2([C@H]1C2)C(C)C,C10H16,136.23,10,0,0.8,1,0,0,45.22,0,2.67,2.85,3,4.29,2.95,3.15,-2.41,5.25E-01,3.85E-03,Soluble,-2.51,4.22E-01,3.10E-03,Soluble,-2.23,8.06E-01,5.92E-03,Soluble,Low,Yes,No,No,No,No,No,No,-5.11,1,1,0,0,2,0.55,0,1,1,3.99
Eucalyptus spp.,Dihydrochrysin,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccccc1,C15H12O4,256.25,19,12,0.13,1,4,2,69.55,66.76,2.11,2.88,2.48,1.27,2.55,2.26,-3.64,5.81E-02,2.27E-04,Soluble,-3.94,2.93E-02,1.14E-04,Soluble,-4,2.58E-02,1.01E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.82,0,0,0,0,0,0.55,0,0,0,2.96
Eucalyptus spp.,"Tritriacontane-16,18-dione",OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,C13H16O10,332.26,23,6,0.46,4,10,7,71.44,177.14,0.49,-1.42,-2.24,-2.29,-2.22,-1.54,-0.93,3.86E+01,1.16E-01,Very soluble,-1.8,5.30E+00,1.59E-02,Very soluble,1.58,1.28E+04,3.85E+01,Soluble,Low,No,No,No,No,No,No,No,-9.33,1,1,1,1,2,0.55,1,1,0,4.17
Eucalyptus spp.,Glucogallin,OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,C13H16O10,332.26,23,6,0.46,4,10,7,71.44,177.14,0.49,-1.42,-2.24,-2.29,-2.22,-1.54,-0.93,3.86E+01,1.16E-01,Very soluble,-1.8,5.30E+00,1.59E-02,Very soluble,1.58,1.28E+04,3.85E+01,Soluble,Low,No,No,No,No,No,No,No,-9.33,1,1,1,1,2,0.55,1,1,0,4.17
